MORPH_ID,HydroCode,TopScreen,BottomScreen,RefElev,RefElevDesc,SWL,rSWL,Source,measuredDate,nScreens,geometry
3324163011,474500096,24.8,36.8,630.0,UNK,20.82,609.18,GW Explorer,1999-04-10T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.9,609.1,GW Explorer,1999-10-22T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.89,609.11,GW Explorer,2000-04-02T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.87,609.13,GW Explorer,2000-10-22T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.98,609.02,GW Explorer,2001-03-31T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.89,609.11,GW Explorer,2001-08-03T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.89,609.11,GW Explorer,2001-11-05T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.51,609.49,GW Explorer,2002-05-11T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.27,609.73,GW Explorer,2002-10-22T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,20.15,609.85,GW Explorer,2003-04-06T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,19.71,610.29,GW Explorer,2004-05-05T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,19.37,610.63,GW Explorer,2004-10-26T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,19.19,610.81,GW Explorer,2005-06-01T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,19.05,610.95,GW Explorer,2005-11-14T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,18.96,611.04,GW Explorer,2006-05-05T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,18.77,611.23,GW Explorer,2006-11-04T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,18.73,611.27,GW Explorer,2007-04-27T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,18.65,611.35,GW Explorer,2007-11-03T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,18.63,611.37,GW Explorer,2008-05-07T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,18.63,611.37,GW Explorer,2008-11-04T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,18.61,611.39,GW Explorer,2009-05-16T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,18.59,611.41,GW Explorer,2009-11-01T00:00:00,1.0,
3324163011,474500096,24.8,36.8,630.0,UNK,18.52,611.48,GW Explorer,2010-04-18T00:00:00,1.0,
3324963191,474500004,26.32,32.92,630.0,UNK,20.12,609.88,GW Explorer,1955-08-24T00:00:00,1.0,
3324963191,474500004,26.32,32.92,630.0,UNK,20.23,609.77,GW Explorer,1995-11-14T00:00:00,1.0,
3324963191,474500004,26.32,32.92,630.0,UNK,20.3,609.7,GW Explorer,1996-10-30T00:00:00,1.0,
3324963191,474500004,26.32,32.92,630.0,UNK,20.27,609.73,GW Explorer,1996-11-28T00:00:00,1.0,
3324963191,474500004,26.32,32.92,630.0,UNK,20.54,609.46,GW Explorer,2000-05-21T00:00:00,1.0,
3324963191,474500004,26.32,32.92,630.0,UNK,20.49,609.51,GW Explorer,2001-05-17T00:00:00,1.0,
3324963191,474500004,26.32,32.92,630.0,UNK,20.18,609.82,GW Explorer,2002-05-11T00:00:00,1.0,
3324963191,474500004,26.32,32.92,630.0,UNK,19.76,610.24,GW Explorer,2003-05-16T00:00:00,1.0,
3328158281,474500036,28.19,34.14,625.0,UNK,21.64,603.36,GW Explorer,1970-10-06T00:00:00,2.0,
3328158281,474500036,28.19,34.14,625.0,UNK,21.3,603.7,GW Explorer,1984-06-04T00:00:00,2.0,
3333499741,474500033,24.84,31.39,658.0,UNK,22.5,635.5,GW Explorer,1970-10-03T00:00:00,1.0,
3348738681,464500003,,,527.0,UNK,23.5,503.5,GW Explorer,1978-09-22T00:00:00,0.0,
3366810062,474500075,0.0,57.0,698.0,UNK,16.92,681.08,GW Explorer,1977-11-15T00:00:00,1.0,
3372873541,484500023,28.0,34.0,781.0,UNK,7.7,773.3,GW Explorer,2002-09-21T00:00:00,1.0,
3394651801,484500003,3.3,20.5,681.0,UNK,11.3,669.7,GW Explorer,1976-05-18T00:00:00,1.0,
3399718951,474500365,,,699.0,UNK,41.0,658.0,GW Explorer,2010-10-01T00:00:00,0.0,
3412957701,474500005,29.45,37.49,635.0,UNK,21.34,613.66,GW Explorer,1955-07-27T00:00:00,2.0,
3420424701,474500089,33.0,42.0,664.0,UNK,25.0,639.0,GW Explorer,1985-01-01T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,27.22,639.78,GW Explorer,2001-05-04T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,27.28,639.72,GW Explorer,2001-05-20T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,27.26,639.74,GW Explorer,2002-05-10T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,27.25,639.75,GW Explorer,2002-06-03T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,27.13,639.87,GW Explorer,2002-10-22T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,27.1,639.9,GW Explorer,2003-04-06T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,27.15,639.85,GW Explorer,2003-05-16T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,27.04,639.96,GW Explorer,2003-10-20T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,27.07,639.93,GW Explorer,2004-05-05T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,27.11,639.89,GW Explorer,2004-10-26T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,26.92,640.08,GW Explorer,2005-05-31T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,26.8,640.2,GW Explorer,2005-11-15T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,26.69,640.31,GW Explorer,2006-05-06T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,26.51,640.49,GW Explorer,2007-04-27T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,19.36,647.64,GW Explorer,2007-11-03T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,26.43,640.57,GW Explorer,2008-05-08T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,26.3,640.7,GW Explorer,2008-11-03T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,26.13,640.87,GW Explorer,2009-05-17T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,26.07,640.93,GW Explorer,2009-11-02T00:00:00,2.0,
3435524171,474500137,43.5,55.5,667.0,UNK,25.94,641.06,GW Explorer,2010-04-17T00:00:00,2.0,
3442457281,494500026,30.0,48.0,688.0,UNK,15.8,672.2,GW Explorer,1994-11-23T00:00:00,2.0,
3442457281,494500026,30.0,48.0,688.0,UNK,14.8,673.2,GW Explorer,1995-03-16T00:00:00,2.0,
3504822401,474500003,25.49,33.53,668.0,UNK,27.13,640.87,GW Explorer,1955-08-16T00:00:00,1.0,
3512076051,464500002,,,681.0,UNK,15.71,665.29,GW Explorer,1978-09-15T00:00:00,0.0,
3513485821,484500027,62.0,68.0,716.0,UNK,20.0,696.0,GW Explorer,2005-07-07T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,30.0,642.0,GW Explorer,1978-09-23T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.45,644.55,GW Explorer,1998-04-01T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.13,644.87,GW Explorer,1999-04-11T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.45,644.55,GW Explorer,2000-04-02T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.58,644.42,GW Explorer,2000-10-21T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.46,644.54,GW Explorer,2001-03-31T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.45,644.55,GW Explorer,2001-08-03T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.58,644.42,GW Explorer,2001-11-05T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.43,644.57,GW Explorer,2002-10-22T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.45,644.55,GW Explorer,2003-04-06T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.35,644.65,GW Explorer,2003-10-20T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.35,644.65,GW Explorer,2004-05-05T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.14,644.86,GW Explorer,2005-05-31T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.11,644.89,GW Explorer,2005-11-15T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.05,644.95,GW Explorer,2006-05-06T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,27.0,645.0,GW Explorer,2006-11-04T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,26.97,645.03,GW Explorer,2007-04-27T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,26.91,645.09,GW Explorer,2007-11-03T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,26.85,645.15,GW Explorer,2008-05-08T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,26.56,645.44,GW Explorer,2008-11-03T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,26.72,645.28,GW Explorer,2009-05-17T00:00:00,1.0,
3522818271,474500078,33.9,40.5,672.0,UNK,26.47,645.53,GW Explorer,2010-04-17T00:00:00,1.0,
3533856741,494500016,35.0,53.0,704.0,UNK,15.2,688.8,GW Explorer,1990-11-15T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,31.0,639.0,GW Explorer,1980-11-27T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,28.0,642.0,GW Explorer,1998-04-01T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,27.88,642.12,GW Explorer,1998-10-16T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,27.96,642.04,GW Explorer,1999-04-11T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,28.1,641.9,GW Explorer,2000-04-02T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,28.09,641.91,GW Explorer,2000-10-21T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,28.03,641.97,GW Explorer,2001-03-31T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,28.11,641.89,GW Explorer,2001-08-03T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,28.18,641.82,GW Explorer,2001-11-05T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,28.25,641.75,GW Explorer,2002-10-22T00:00:00,2.0,
3557415361,474500094,32.6,60.0,670.0,UNK,28.08,641.92,GW Explorer,2003-04-06T00:00:00,2.0,
