MORPH_ID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,ConstructionType,Material,InnerDiameter,OuterDiameter,Property,PropertySize,DrillMethod,LogType,geometry
3831150561,494500009,29.0,33.0,622.0,618.0,INLT,STL,152.0,,UNK,,UNK,1.0,
3833037041,474500013,0.0,0.91,697.0,696.09,LIN,UNK,152.0,,UNK,,UNK,1.0,
3833037041,474500013,0.0,0.91,697.0,696.09,VOID,UNK,,,UNK,,UNK,1.0,
3839862581,494300007,0.0,2.0,459.61,457.61,LIN,PVC,200.0,,UNK,,UNK,1.0,
3839862581,494300007,0.0,42.0,459.61,417.61,VOID,UNK,,,UNK,,UNK,1.0,
3839862581,494300007,2.0,18.0,457.61,441.61,LIN,PVC12,150.0,,UNK,,UNK,1.0,
3839862581,494300007,18.0,42.0,441.61,417.61,INLT,UPVC12,150.0,,SLAP,2.0,ROT,1.0,
3841763591,484400003,-0.5,2.5,536.51,533.51,LIN,STL,205.0,,UNK,,UNK,1.0,
3841763591,484400003,-0.5,12.0,536.51,524.01,LIN,PVC,150.0,,UNK,,UNK,1.0,
3841763591,484400003,-0.5,30.0,536.51,506.01,VOID,UNK,,,UNK,,UNK,1.0,
3841763591,484400003,12.0,24.0,524.01,512.01,INLT,UPVC,150.0,,SLAP,3.0,ROT,1.0,
3841763591,484400003,24.0,30.0,512.01,506.01,INLT,UPVC,150.0,,UNK,,ROT,1.0,
3843450221,494500023,-0.5,4.0,672.5,668.0,LIN,STL,203.0,,UNK,,UNK,1.0,
3843450221,494500023,-0.5,23.5,672.5,648.5,LIN,PVC12,143.0,,UNK,,UNK,1.0,
3843450221,494500023,-0.5,29.5,672.5,642.5,VOID,UNK,,,UNK,,UNK,1.0,
3843450221,494500023,17.5,23.5,654.5,648.5,INLT,UPVC12,143.0,,SLAP,2.0,ROT,1.0,
3843450221,494500023,23.5,29.5,648.5,642.5,INLT,UPVC12,143.0,,UNK,,ROT,1.0,
3845242901,534500058,0.0,10.0,634.0,624.0,LIN,PVC,102.0,,UNK,,UNK,1.0,
3845242901,534500058,0.0,16.5,634.0,617.5,VOID,UNK,,,UNK,,UNK,1.0,
3845242901,534500058,10.0,16.0,624.0,618.0,INLT,UPVC,102.0,,SLAP,,CBT,1.0,
3845242901,534500058,16.0,16.5,618.0,617.5,INLT,UPVC,102.0,,UNK,,CBT,1.0,
3847852671,524400010,0.0,16.96,577.0,560.04,LIN,UNK,152.0,,UNK,,UNK,1.0,
