MORPH_ID,HydroCode,FromDepth,ToDepth,TopElev,BottomElev,HGUID,HGUNumber,NafHGUNumber,NafHGUName,Description,Author,Source,Comment,GA_UNIT,GA_STRATNO,geometry
3789352781,474500086,27.0,30.0,566.0,563.0,31000087.0,1086.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,GRANITE,PAYNE JL,SAGeodata,,Pitjantjatjara Supersuite,39078.0,
3789972891,484300004,0.0,3.0,610.0,607.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,BROWN SAND AND SANDY CLAY,G. NICHOLS,SAGeodata,,,-999999.0,
3789972891,484300004,3.0,54.0,607.0,556.0,31000045.0,1044.0,125005,Jurassic sediments,SANDY CLAY AND KAOLIN OF WEATHERED GNEISS OVER FRESH QTZ-FSPAR-BIOT GNEISS,G. NICHOLS,SAGeodata,,,-999999.0,
3792466241,474500134,0.0,30.0,552.0,522.0,31000137.0,1136.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,N VASILIC,SAGeodata,,,-999999.0,
3792466241,474500134,30.0,35.0,522.0,517.0,31000125.0,1124.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,N VASILIC,SAGeodata,,,-999999.0,
3792822881,514500002,0.0,9.14,662.0,652.86,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3793332851,474500106,0.0,3.05,708.0,704.95,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,"GRITTY SILICEOUS POWDER, MAGNETITE GRAINS CEMENTED BY CLAY AND HAEMATITE, FRAGMENTS OF CHALCEDONY",S.MUELLER,SAGeodata,,,-999999.0,
3793332851,474500106,0.0,13.72,708.0,694.28,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,"GRITTY SILICEOUS POWDER, MAGNETITE GRAINS CEMENTED BY CLAY AND HAEMATITE, FRAGMENTS OF CHALCEDONY",S.MUELLER,SAGeodata,,,-999999.0,
3793332851,474500106,3.05,13.72,704.95,694.28,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,"PALE GRITTY POWDER WITH JASPER, MAGNESITE AND CHROMITE CHIPS SOME ENSTATITE VISIBLE",S.MUELLER,SAGeodata,,,-999999.0,
3793332851,474500106,13.72,16.92,694.28,691.08,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,"GREY-BROWN GRITTY POWDER, FRAGMENTS OF SAPONITE AND SERPENTINE",S.MUELLER,SAGeodata,,,-999999.0,
3796657741,514500110,0.0,3.0,700.0,697.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3796657741,514500110,3.0,36.0,697.0,664.0,31000045.0,1044.0,125005,Jurassic sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3797402991,474500145,0.0,3.0,677.0,674.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,RED VERY FINE GRAINED AEOLIAN SAND AND MINOR GRAVELS.,J. GUM & S. CONSTABLE,SAGeodata,,,-999999.0,
3797402991,474500145,3.0,16.0,674.0,661.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,COARSE GRAINED COLLUVIUM (GRAVELS AND GRITS) CEMENETED BY ORANGE CALCRETE +/- YELLOW-BROWN LIMONITIC SILCRETE/LATERITE AND MANGANESE STAINING.,J. GUM & S. CONSTABLE,SAGeodata,,,-999999.0,
3797402991,474500145,16.0,18.0,661.0,659.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,WHITE VERY FINE GRAINED SILICIFIED KAOLIN?,J. GUM & S. CONSTABLE,SAGeodata,,,-999999.0,
3797402991,474500145,18.0,48.0,659.0,629.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,RED-BROWN VERY FINE GRAINED CLAY ALTERED BASEMENT? WITH MINOR QUARTZ GRAINS +/- GRITS AND GRAVEL AND LIMONITE.,J. GUM & S. CONSTABLE,SAGeodata,,,-999999.0,
3797402991,474500145,48.0,61.0,629.0,616.0,31000045.0,1044.0,125005,Jurassic sediments,BLACK-GREY MEDIUM GRAINED QUARTZ/FELDSPAR/MAGNETITE BIRKSGATE GNEISS WITH MINOR PYROXENE? AND BIOTITE + MINOR WEATHERING +/- PYRITE AND BIOTITE AND CHLORITE ALTERATION.,J. GUM & S. CONSTABLE,SAGeodata,,,-999999.0,
3799525171,514500030,0.0,10.67,663.0,652.33,31000137.0,1136.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,SILT AND SILTY CLAY OVER LIMESTONE,G. NICHOLS,SAGeodata,,,-999999.0,
3799525171,514500030,10.67,25.0,652.33,638.0,31000045.0,1044.0,125005,Jurassic sediments,FINE-MED. GR. SILTY QUARTZITE WITH SOME SANDSTONE AND LIMESTONE OVER CONGLOMERATE OF QUARTZITE AND SANDSTONE,G. NICHOLS,SAGeodata,,,-999999.0,
3799632661,524400018,0.0,3.0,574.0,571.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3799632661,524400018,3.0,15.0,571.0,559.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3799632661,524400018,15.0,24.0,559.0,550.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3799632661,524400018,24.0,30.0,550.0,544.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,WEATHERED,PAYNE JL,SAGeodata,,,-999999.0,
3799632661,524400018,30.0,66.0,544.0,508.0,31000045.0,1044.0,125005,Jurassic sediments,SOME FRACTURED,PAYNE JL,SAGeodata,,,-999999.0,
3803335651,474500108,0.0,14.78,702.0,687.22,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,"GRITTY POWDER WITH JASPER AND CHALCEDONY CHIPS, LIMONITE AND SOME OCHRE",C.HELLWIG,SAGeodata,,,-999999.0,
3803335651,474500108,0.0,26.0,702.0,676.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,"GRITTY POWDER WITH JASPER AND CHALCEDONY CHIPS, LIMONITE AND SOME OCHRE",C.HELLWIG,SAGeodata,,,-999999.0,
3803335651,474500108,14.78,26.0,687.22,676.0,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,OCHRE WITH VEINLETS OF SAPONITE AND FRAGMENTS OF JASPER,C.HELLWIG,SAGeodata,,,-999999.0,
3805665061,534500108,0.0,2.0,721.0,719.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3805665061,534500108,2.0,18.0,719.0,703.0,31000087.0,1086.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3809155471,514500071,0.0,9.6,640.0,630.4,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3810435811,524400021,-0.62,1.3799999999999955,575.06,573.06,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3810435811,524400021,1.38,3.3799999999999955,573.06,571.06,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3810435811,524400021,3.38,20.379999999999995,571.06,554.06,31000045.0,1044.0,125005,Jurassic sediments,,PAYNE JL,SAGeodata,,,-999999.0,
3812041901,534400037,0.0,6.0,593.0,587.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3812041901,534400037,6.0,51.0,587.0,542.0,31000045.0,1044.0,125005,Jurassic sediments,"WEATHERED PROFILE, DEEP WEATHERING",NIKOLA VASILIC,SAGeodata,,,-999999.0,
3812041901,534400037,51.0,66.0,542.0,527.0,31000045.0,1044.0,125005,Jurassic sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3812806721,534000034,0.0,2.0,254.8,252.8,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,DARK RED-BROWN SANDS.,G. NICHOLS,SAGeodata,,,-999999.0,
3812806721,534000034,2.0,84.0,252.8,170.8,31000056.0,1055.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,SILTSTONE WITH OCC. SANDY LAYERS OVER SANDSTONE INTERBEDDED WITH SILTSTONE,G. NICHOLS,SAGeodata,,,-999999.0,
3813806001,534500065,0.0,2.0,589.92,587.92,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3813806001,534500065,2.0,9.65,587.92,580.27,31000045.0,1044.0,125005,Jurassic sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3814056901,534500083,0.0,7.0,711.0,704.0,31000139.0,1138.0,100001,Undifferentiated Quaternary sediments,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3814056901,534500083,7.0,30.0,704.0,681.0,31000087.0,1086.0,134001,Undifferentiated Proterozoic to Mesozoic bedrock,,NIKOLA VASILIC,SAGeodata,,,-999999.0,
3816336151,474500103,0.0,21.34,693.0,671.66,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,BROWN OCHREOUS POWDER,S.MUELLER,SAGeodata,,,-999999.0,
3816336151,474500103,21.34,22.86,671.66,670.14,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,"BROWN POWDERY LIMONITE, FRAGMENTS OF OCHREOUS CLAY WITH RELICT TEXTURES OF CHROMITE",S.MUELLER,SAGeodata,,,-999999.0,
3816336151,474500103,22.86,25.91,670.14,667.09,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,BROWN OCHREOUS POWDER,S.MUELLER,SAGeodata,,,-999999.0,
3816336151,474500103,22.86,26.73,670.14,666.27,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,BROWN OCHREOUS POWDER,S.MUELLER,SAGeodata,,,-999999.0,
3816336151,474500103,25.91,26.73,667.09,666.27,31000141.0,1140.0,119001,Undifferentiated Tertiary sediments,GRITTY OCHREOUS POWDER,S.MUELLER,SAGeodata,,,-999999.0,
